Image Group,Participant 1,Participant 2,Participant 3,Participant 4,Participant 5,Participant 6,Participant 7,Participant 8,Participant 9,Participant 10,Participant 11,Participant 12,Participant 13,Participant 14,Participant 15,Participant 16,Participant 17,Participant 18
2,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1
4,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0
6,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0
8,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
10,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1
12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
14,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1
16,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
18,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1
20,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1
22,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
24,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1
26,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1
28,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1
30,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0
32,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1
34,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
36,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1
38,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1
40,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0
42,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1
44,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
46,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0
48,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
50,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0
52,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0
54,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1
56,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1
58,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0
60,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0
